SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global
BLT-16-8-11KW,Вертикальный многоступенчатый насос SHIMGE BLT 16-8 (AISI 304),1,1,visible,Для высотных зданий и водоканалов,"Флагманский вертикальный многоступенчатый центробежный насос из нержавеющей стали AISI 304. Применяется в станциях повышения давления жилых комплексов, установках обратного осмоса и на промышленных предприятиях.",taxable,1,14,22500000,Многоступенчатые насосы BLT,https://files.glotr.uz/company/000/027/167/products/2023/02/17/2023-02-17-21-22-36-552393-238ee32a0a85c96fad061c7123a0b9c7.webp?_=ozauc,Серия,BLT,1,1,Напор H (м),110,1,1,Подача Q (м³/ч),16.0,1,1,Мощность (кВт),11.0,1,1,Материал корпуса,Нержавеющая сталь AISI 304,1,1
BLT-32-10-15KW,Промышленный насос повышения давления SHIMGE BLT 32-10,1,1,visible,Промышленное водоснабжение,"Высоконапорный промышленный насосный агрегат с энергоэффективным двигателем класса IE3. Разработан для непрерывной круглосуточной эксплуатации в системах пожаротушения, водоканалах и котельных.",taxable,1,8,34800000,Многоступенчатые насосы BLT,https://files.glotr.uz/company/000/027/167/products/2023/02/17/2023-02-17-21-24-21-514200-cc0240c9804a7478568ff5b7ac3ccb5a.webp?_=ozauc,Серия,BLT,1,1,Напор H (м),140,1,1,Подача Q (м³/ч),32.0,1,1,Мощность (кВт),15.0,1,1,Материал корпуса,Нержавеющая сталь AISI 304,1,1
BLT-4-12-3.0KW,Многоступенчатый насос SHIMGE BLT 4-12,1,1,visible,Коммунальное хозяйство и фильтрация,"Компактный вертикальный многоступенчатый насос для систем мембранной фильтрации, подпитки паровых котлов и технологических линий очистки воды.",taxable,1,19,11200000,Многоступенчатые насосы BLT,https://files.glotr.uz/company/000/027/167/products/2023/02/17/2023-02-17-21-23-35-215098-37c9657003b809e4b62def8bee7409e5.webp?_=ozauc,Серия,BLT,1,1,Напор H (м),114,1,1,Подача Q (м³/ч),4.0,1,1,Мощность (кВт),3.0,1,1,Материал корпуса,Нержавеющая сталь AISI 304,1,1
4SGm4/14-1.1KW,Скважинный глубинный насос SHIMGE 4SGm 4/14 (Пескостойкий),1,1,visible,Для глубоких скважин от 4 дюймов,Погружной скважинный насос с плавающими рабочими колесами из износостойкого полимера PPO. Устойчив к содержанию песка в воде до 150 г/м³. Идеален для артезианских скважин и полива.,taxable,1,28,3450000,Скважинные и глубоководные насосы,https://files.glotr.uz/company/000/027/167/products/2023/06/24/2023-06-24-12-23-22-188062-b3b0f41c79048ada0fc9ef2d77f23d15.webp?_=ozauc,Серия,4SGm,1,1,Напор H (м),102,1,1,Подача Q (м³/ч),6.0,1,1,Мощность (кВт),1.1,1,1,Материал корпуса,Нержавеющая сталь AISI 304,1,1
4SGm2/28-2.2KW,Высоконапорный скважинный насос SHIMGE 4SGm 2/28,1,1,visible,Глубокие горизонты до 200 метров,Сверхглубоководный насос для частного и фермерского водоснабжения. Встроенный обратный клапан и масляное охлаждение электродвигателя для работы в жарком климате Узбекистана.,taxable,1,15,5100000,Скважинные и глубоководные насосы,https://files.glotr.uz/company/000/027/167/products/2023/06/24/2023-06-24-12-29-19-652348-b3d1372860d0afb88d3509a2629871f9.webp?_=ozauc,Серия,4SGm,1,1,Напор H (м),198,1,1,Подача Q (м³/ч),3.6,1,1,Мощность (кВт),2.2,1,1,Материал корпуса,Нержавеющая сталь AISI 304,1,1
200QJ50-104/8-22KW,Промышленный скважинный агрегат SHIMGE 200QJ 50-104 (8 дюймов),1,1,visible,Артезианские водозаборы городов и агросектора,"Тяжелый промышленный глубинный агрегат 8 дюймов для водоканалов, крупных фермерских хозяйств и оросительных систем в регионах Узбекистана.",taxable,1,4,42000000,Скважинные и глубоководные насосы,https://files.glotr.uz/company/000/027/167/products/2023/06/24/2023-06-24-12-16-13-867669-6deeb62ed32f098f432419b35c442700.webp?_=ozauc,Серия,6SG,1,1,Напор H (м),104,1,1,Подача Q (м³/ч),50.0,1,1,Мощность (кВт),22.0,1,1,Материал корпуса,Чугун HT200,1,1
WQD-10-10-0.75,Фекальный насос с режущим ножом SHIMGE WQD 10-10 CUT (Z-Cut),1,1,visible,С измельчителем (Z-Cut карбид вольфрама),"Фекальный насос с измельчителем из карбида вольфрама. Эффективно перемалывает волокнистые включения, бытовые отходы и предотвращает засор труб септика.",taxable,1,35,2750000,Дренажные и фекальные насосы,https://images.unsplash.com/photo-1584467735815-f778f274e296?auto=format&fit=crop&w=800&q=80,Серия,WQ,1,1,Напор H (м),14,1,1,Подача Q (м³/ч),16.0,1,1,Мощность (кВт),0.75,1,1,Материал корпуса,Высокопрочный чугун HT200,1,1
WQ-15-15-1.5KW,Погружной канализационный насос SHIMGE WQ 15-15-1.5,1,1,visible,"Для КНС, автомоек и ливнестоков","Надежный погружной чугунный насос с чугунной крыльчаткой Vortex с широким свободным проходом до 30 мм для откачки сточных вод, котлованов и септиков.",taxable,1,22,4100000,Дренажные и фекальные насосы,https://images.unsplash.com/photo-1581092580497-e0d23cbdf1dc?auto=format&fit=crop&w=800&q=80,Серия,WQ,1,1,Напор H (м),18,1,1,Подача Q (м³/ч),24.0,1,1,Мощность (кВт),1.5,1,1,Материал корпуса,Высокопрочный чугун HT200,1,1
APM-25-6-130,Циркуляционный энергосберегающий насос SHIMGE APM 25-6 (Класс А),1,1,visible,Smart Частотный инвертор (5–45 Вт),Умный циркуляционный насос с синхронным двигателем на постоянных магнитах и автоматической адаптацией под термостаты радиаторов и теплого пола. Экономия до 80% электроэнергии.,taxable,1,60,1480000,Циркуляционные насосы для отопления,https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?auto=format&fit=crop&w=800&q=80,Серия,APM,1,1,Напор H (м),6,1,1,Подача Q (м³/ч),3.2,1,1,Мощность (кВт),0.045,1,1,Материал корпуса,Чугун с катафорезным антикоррозийным покрытием,1,1
XPS-32-8-180,Циркуляционный насос отопления SHIMGE XPS 32-8-180 (3 скорости),1,1,visible,Классический трехскоростной насос отопления,"Проверенный временем трехскоростной циркуляционный насос с мокрым ротором для автономных систем отопления частных домов, теплиц и коммерческих объектов.",taxable,1,45,980000,Циркуляционные насосы для отопления,https://images.unsplash.com/photo-1504307651254-35680f356dfd?auto=format&fit=crop&w=800&q=80,Серия,XPS,1,1,Напор H (м),8,1,1,Подача Q (м³/ч),6.5,1,1,Мощность (кВт),0.18,1,1,Материал корпуса,Чугун HT200,1,1
BWJ-2-4-SET,Автоматическая инверторная насосная станция SHIMGE BWJ 2-4,1,1,visible,Инверторное постоянное давление воды,"Комплектная насосная станция с частотным преобразователем, встроенным датчиком давления и протока, мембранным баком. Обеспечивает бесшумную работу и стабильный напор в коттеджах.",taxable,1,12,8900000,Автоматические станции повышения давления,https://files.glotr.uz/company/000/027/167/products/2023/02/17/2023-02-17-21-28-08-366376-f75bc39f30341d9cea2de7d8adf6928d.webp?_=ozauc,Серия,BWJ,1,1,Напор H (м),38,1,1,Подача Q (м³/ч),4.0,1,1,Мощность (кВт),0.75,1,1,Материал корпуса,Нержавеющая сталь AISI 304,1,1
PZ-370-AUTO,Умный самовсасывающий насос с автоматикой SHIMGE PZ 370,1,1,visible,С защитой от сухого хода и заклинивания,"Интеллектуальный насос для автоматического повышения давления воды в квартирах и домах. Защита от работы без воды, автоматический перезапуск и латунное рабочее колесо.",taxable,1,40,2150000,Автоматические станции повышения давления,https://images.unsplash.com/photo-1581092580497-e0d23cbdf1dc?auto=format&fit=crop&w=800&q=80,Серия,PZ,1,1,Напор H (м),38,1,1,Подача Q (м³/ч),2.6,1,1,Мощность (кВт),0.37,1,1,Материал корпуса,Чугун с латунной вставкой,1,1
CPM-158-0.75KW,Поверхностный центробежный насос SHIMGE CPM 158,1,1,visible,"Для сада, полива и водопровода","Классический центробежный насос с медной обмоткой, латунным рабочим колесом и антикоррозийным катафорезным покрытием корпуса.",taxable,1,75,1650000,Поверхностные и самовсасывающие насосы,https://images.unsplash.com/photo-1581092335397-9583fe92d232?auto=format&fit=crop&w=800&q=80,Серия,CPM,1,1,Напор H (м),32,1,1,Подача Q (м³/ч),6.6,1,1,Мощность (кВт),0.75,1,1,Материал корпуса,Высокопрочный чугун HT200,1,1
